,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/2014,1168054,9004045966,1478627,3,,,Semiconductor Equipment
,CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",,20286,8485154010,515573,4,,,Semiconductors
,CTAS,Cintas Corporation,reports,Industrials,Diversified Commercial Services,"Mason, Ohio",,723254,9372151022,982990,6,,,Soft Drinks
,CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",12/1/1993,858877,139191899999,30439475,7,,,Specialty Chemicals
,C,Citigroup Inc.,reports,Financials,Banks,"New York, New York",5/31/1988,831001,141976800007,21586254,4,,,Specialty Retail
,CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,877890,9780581001,1780651,7,,,Specialty Stores
,CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,13808470015,1025536,2,,,Steel
,CME,CME Group Inc.,reports,Financials,Diversified Financial Services,"Chicago, Illinois",,1156375,29042200029,1518936,4,,,Systems Software
,CMS,CMS Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"Jackson, Michigan",,811156,10419099983,2054664,10,,,Telecommunications Equipment
,COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,10249200015,5121111,1,,,Tires & Rubber
,KO,The Coca Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,180329300016,14146636,2,,,Tobacco
,CCE,Coca-Cola Enterprises,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,1491675,10177020018,2103840,2,,,Trading Companies & Distributors
,CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",,1058290,33782759984,4024660,7,,,
,CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665,61537610021,3432049,2,,,
,CMCSA,Comcast Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",,1166691,138657400001,13792486,1,,,
,CMA,Comerica Inc.,reports,Financials,Banks,"Dallas, Texas",,28412,7428500000,2480722,4,,,
,CSC,Computer Sciences Corp.,reports,Information Technology,IT Consulting & Services,"Falls Church, Virginia",6/30/1981,23082,8524970986,887324,7,,,
,CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",8/31/1983,23217,15270329990,2922247,2,,,
